Unit,Latitude_WGS84,Longitude_WGS84,Authorship,Area_Toponym,Dom_Veg_Height,Percent_Vis,Farm,Soil,Background_Dist,Sherd_Crusting,Surf_Clast_Size,Quantity,Bone_Shell,Glass,Metal,Other,Pottery,Stone_Lithics,Terra_Cotta,Prehistoric,Class_Hellen,Roman,Late_Roman,Medieval
Unit 214,34.98570859,33.71786713,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 215,34.98571115,33.71742889,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Fine Gravel (19-5mm),1,1,0,0,0,0,0,0,0,0,0,0,0
Unit 216,34.98571371,33.71699065,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Fine Gravel (19-5mm),1,0,0,0,0,1,0,0,0,0,0,1,0
Unit 217,34.98571627,33.71655241,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 218,34.98571883,33.71611418,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 219,34.98572139,33.71567594,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,Light,Sand (<5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 220,34.98572395,33.7152377,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Sand (<5mm),26,0,0,0,0,26,0,0,0,0,0,11,0
Unit 221,34.9857265,33.71479946,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,Light,Coarse Gravel (75-19mm),37,0,0,0,0,37,0,0,0,0,2,13,0
Unit 222,34.98572906,33.71436122,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Moderate,Light,Coarse Gravel (75-19mm),43,0,1,0,0,41,1,0,0,0,1,14,4
Unit 223,34.98573161,33.71392299,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Heavy,Light,Coarse Gravel (75-19mm),75,0,2,0,0,73,0,0,0,0,3,29,0
Unit 224,34.98608206,33.71567905,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,Light,Fine Gravel (19-5mm),24,0,0,0,0,24,0,0,0,0,2,12,0
Unit 225,34.9860795,33.71611729,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,Light,Sand (<5mm),14,0,1,0,1,12,0,0,0,0,2,2,0
Unit 226,34.98607694,33.71655553,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,Light,Sand (<5mm),1,0,0,0,0,1,0,0,0,0,0,0,0
Unit 227,34.98607438,33.71699376,David K. Pettegrew,Dhekeleia,<= waist,100,Plowed,Loose,Light,None,Sand (<5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 228,34.98607182,33.717432,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,None,Sand (<5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 229,34.98606926,33.71787024,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,None,Fine Gravel (19-5mm),2,0,0,0,0,0,2,0,0,0,0,0,0
Unit 230,34.98606669,33.71830848,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 231,34.98537349,33.71348165,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),79,0,1,0,0,78,0,0,0,0,6,22,2
Unit 232,34.98537094,33.71391989,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),62,0,0,0,0,62,0,0,0,1,2,29,0
Unit 233,34.98536839,33.71435812,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Fine Gravel (19-5mm),40,0,0,0,0,40,0,0,0,2,5,15,1
Unit 234,34.98536583,33.71479636,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Light,Coarse Gravel (75-19mm),26,0,0,0,0,26,0,0,0,0,1,20,0
Unit 235,34.98536328,33.7152346,William R. Caraher,Kokkinokremos Plain,None,100,,,,,,4,0,0,0,0,4,0,0,0,0,0,2,0
Unit 236,34.98536072,33.71567283,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Light,Coarse Gravel (75-19mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 237,34.98500516,33.71479326,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),2,0,0,0,0,2,0,0,0,0,0,2,0
Unit 238,34.98500772,33.71435502,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),9,0,0,0,0,9,0,0,0,1,0,6,0
Unit 239,34.98501027,33.71391679,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),37,0,0,0,0,36,1,0,0,0,2,17,0
Unit 240,34.98501282,33.71347855,David K. Pettegrew,Kokkinokremos Plain,None,100,Plowed,Loose,Light,None,Fine Gravel (19-5mm),54,0,0,0,0,54,0,0,0,0,0,24,0
Unit 241,34.98501537,33.71304032,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),46,0,0,0,0,46,0,0,0,1,4,22,3
Unit 242,34.98642993,33.71787336,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 243,34.98643249,33.71743512,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),2,0,0,0,0,1,1,0,0,0,1,0,0
Unit 244,34.98643505,33.71699688,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),3,0,0,0,0,3,0,0,0,0,0,0,0
Unit 245,34.98643762,33.71655864,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),26,0,0,0,0,26,0,0,0,0,3,3,1
Unit 246,34.98644017,33.71612039,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),60,0,0,0,0,60,0,0,0,0,4,22,0
Unit 247,34.98644273,33.71568215,William R. Caraher,Kokkinokremos Plain,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),52,0,0,0,0,51,1,0,0,4,1,17,0
Unit 248,34.98358286,33.71127503,David K. Pettegrew,Water Plant,<= ankle,60,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 249,34.98322219,33.71127194,David K. Pettegrew,Water Plant,<= knee,50,Plowed,Compacted,Light,None,Sand (<5mm),29,0,0,0,0,29,0,0,0,0,0,4,0
Unit 250,34.98286152,33.71126885,David K. Pettegrew,Water Plant,<= knee,50,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),15,0,0,0,0,15,0,0,0,1,3,1,0
Unit 251,34.98250085,33.71126576,David K. Pettegrew,Water Plant,<= knee,60,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),3,0,0,0,0,3,0,0,0,0,0,1,0
Unit 252,34.98642736,33.7183116,William R. Caraher,Water Plant,None,100,Plowed,Loose,Light,Heavy,Coarse Gravel (75-19mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 501,34.9837667,33.70620921,William R. Caraher,Vigla,<= ankle,80,Plowed,Compacted,Light,Heavy,Coarse Gravel (75-19mm),965,5,3,1,1,948,7,0,10,113,89,71,1
Unit 502,34.98397758,33.71747852,David K. Pettegrew,Dhekeleia,None,90,Plowed,Loose,Moderate,Light,Coarse Gravel (75-19mm),21,0,0,0,0,21,0,0,1,1,4,7,1
Unit 503,34.98342055,33.71658664,David K. Pettegrew,Dhekeleia,<= ankle,80,Plowed,Loose,Moderate,None,Coarse Gravel (75-19mm),18,1,2,0,0,15,0,0,0,1,1,8,0
Unit 504,34.98278794,33.71567721,David K. Pettegrew,Dhekeleia,None,100,Plowed,Loose,Moderate,Light,Coarse Gravel (75-19mm),32,0,7,0,1,23,1,0,0,0,0,9,0
Unit 505,34.98214449,33.71478235,David K. Pettegrew,Dhekeleia,<= ankle,60,Plowed,Compacted,Light,None,Coarse Gravel (75-19mm),23,1,6,0,0,16,0,0,0,0,1,4,0
Unit 506,34.98158513,33.71385773,David K. Pettegrew,Dhekeleia,<= knee,30,Unplowed,Compacted,Light,None,Coarse Gravel (75-19mm),8,1,1,0,0,4,0,2,0,0,0,0,0
Unit 507,34.98118368,33.71290896,David K. Pettegrew,Dhekeleia,<= knee,40,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),4,0,0,0,0,4,0,0,0,0,1,0,0
Unit 508,34.98089177,33.71196444,David K. Pettegrew,Dhekeleia,<= knee,40,Plowed,Compacted,Moderate,None,Fine Gravel (19-5mm),15,0,0,0,0,15,0,0,0,0,1,5,0
Unit 509,34.98142136,33.71190484,David K. Pettegrew,Dhekeleia,<= ankle,40,Plowed,Compacted,Moderate,Light,Fine Gravel (19-5mm),6,0,0,0,0,6,0,0,0,0,1,4,0
Unit 510,34.98166112,33.71274436,David K. Pettegrew,Dhekeleia,<= ankle,60,Unplowed,Compacted,Light,Light,Sand (<5mm),2,0,0,0,0,2,0,0,0,0,1,0,0
Unit 511,34.98202163,33.71381693,David K. Pettegrew,Dhekeleia,<= ankle,50,Plowed,Compacted,Light,None,Fine Gravel (19-5mm),4,0,0,0,0,4,0,0,0,0,0,0,1
Unit 512,34.98260657,33.71465846,David K. Pettegrew,Dhekeleia,<= ankle,70,Plowed,Loose,Light,None,Coarse Gravel (75-19mm),3,1,0,0,0,2,0,0,0,0,0,0,0
Unit 513,34.98315329,33.715321,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,None,Coarse Gravel (75-19mm),6,0,0,0,0,6,0,0,0,0,1,5,0
Unit 514,34.98371416,33.71616455,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Fine Gravel (19-5mm),8,0,0,1,0,7,0,0,0,0,0,1,0
Unit 515,34.98430336,33.71709077,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Coarse Gravel (75-19mm),8,0,2,0,0,6,0,0,0,0,0,3,0
Unit 516,34.98484289,33.71795687,David K. Pettegrew,Dhekeleia,<= ankle,90,Plowed,Loose,Light,None,Fine Gravel (19-5mm),3,0,0,0,0,3,0,0,0,0,0,1,0
Unit 517,34.9850489,33.71746778,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,None,Coarse Gravel (75-19mm),0,0,0,0,0,0,0,0,0,0,0,0,0
Unit 518,34.98454241,33.71654879,David K. Pettegrew,Dhekeleia,<= ankle,100,Plowed,Loose,Light,None,Fine Gravel (19-5mm),0,0,0,0,0,0,0,0,0,0,0,0,0
